!	!	!	PUNCT	preanno
angetreckt	an'ge'trekt	an+treken	VERB.PPast.wk.hd
angrippt	ang'ript	an+grIpen	VERB.PPast.wk	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
ankehlen	an'kE'len	an+kElen	VERB.Inf
anleng'n	an'len'gen	an+legen	VERB.Inf
An'n	an'n	an	ADP DET.Def.Masc.Acc.Sg.clit
An'n	an'n	an	ADP DET.Def.Masc.Dat.Sg.clit
annehm'n	an'nÄ'men	an+nÄmen	VERB.Inf
annen	an'nen	an	ADP DET.Def.Masc.Dat.Sg.clit
änner	e'ner	äner	ADJ.Pos.Fem?.Dat.Sg.st
änner	e'ner	äner	ADJ.Pos.Neut.Acc.Sg.st
änner	e'ner	äner	ADJ.Pos.Neut.Nom.Sg.st
änner	e'ner	äner	ADJ.Pos.Neut.Dat?.Sg.st
Annern	e'nern	äner/ADJ.Pos	NOUN.Pl.Dat.ocr
Annern	e'nern	äner/ADJ.Pos	NOUN.Pl.Nom.ocr
Annern	e'nern	äner/ADJ.Pos	NOUN.Masc.Acc.Sg.ocr
Annern	e'nern	äner/ADJ.Pos	NOUN.Masc.Dat.Sg.ocr
Annern	e'nern	äner/ADJ.Pos	NOUN.Masc.Dat.Sg.ocr
ännern	e'nern	äner	ADJ.Acc.st.Masc.Sg	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
Ännern	e'nern	äner	ADJ.Acc.st.Masc.Sg	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
änners	eners	äners	ADV
Anners	e'ners	äners	ADV	1	dict/vocab.json.ocr
ännert	e'nert	äner	ADJ.Pos.Neut.Dat.Sg.st
Ann're	en're	äner/ADJ.Pos	NOUN.Pl.Acc.ocr
Annre	en're	äner/ADJ.Pos	NOUN.Pl.Acc.ocr
Annre	en're	äner/ADJ.Pos	NOUN.Masc.Nom.Sg.ocr
Annre	en're	äner/ADJ.Pos	NOUN.Neut.Nom.Sg.ocr
Annre	en're	äner	ADJ.Pos.Fem.Nom.Sg.ocr
ännre	en're	äner	ADJ.Acc.wk.Neut.Sg
Annrer	en'rer	äner	PRON.Ind.Nom.Sg.Masc.ocr
anroaden	an'rå'den	an+råden	VERB.Inf	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
anroaden	an'rå'den	an+råden	VERB._.Pl.Ind.Prs	0.865497076023392	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
anschmeer'n	an'SmE'ren	an+SmEren	VERB.Inf
anschu't	an'SUt	an+SUen	VERB.3.Sg.Ind.Prs
anseh	an'sE	an+sEen	VERB.1.Sg.Ind.Prs
ansehn	an'sEn	an+sEen	VERB._.Pl.Ind.Prs
ansehn	an'sEn	an+sEen	VERB.Inf
Anstand	an'stand	an+stand	NOUN.Masc.Dat.Sg
anstiert	an'stIrt	an+stIren	VERB.PPast.wk	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
anstoahn	an'stån	an+stån	VERB.Inf
anstund	an'stund	an+stån	VERB.3.Sg.Ind.Prt.st
An't	an't	an	ADP DET.Def.Acc.Sg.Neut.clit
An't	an't	an	ADP DET.Def.Dat.Sg.Neut.clit
antehn	an'tEn	an+tEn	VERB.Inf
antofang'n	an'tO'fan'gen	an+fängen	VERB.Inf_to
antofechten	an'tO'fex'ten	an+fexten	VERB.Inf_to	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
antonehm'n	an'tO'nÄ'men	an+nÄmen	VERB.Inf_to
antosehen	an'to'sE'en	an+sEen	VERB.Inf_to
Antwoort	ant'wOrt	ant-wOrd	NOUN.Fem.Acc.Sg
April	ap'ril	april	PROPN.Masc.Acc	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
April	ap'ril	april	PROPN.Masc.Dat	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
April	ap'ril	april	PROPN.Masc.Nom	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
arbeit't	ar'beit	arbeiten	VERB.3.Sg.Ind.Prs
ärgert	er'gert	ärger/NOUN.Masc-en	VERB.3.Sg.Ind.Prs
Armen	ar'men	arm	ADJ.Pl.Acc	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
Armen	ar'men	arm	ADJ.Pos.Masc.Acc	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
Armen	ar'men	arm	ADJ.Pos.Pl.Acc.wk	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
Armen	ar'men	arm	ADJ.Pos.Pl.Nom.wk	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
armet	ar'met	arm	ADJ.Pos.Fem.Acc.reg.st	0.91	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
armet	ar'met	arm	ADJ.Pos.Fem.Nom.reg.st	0.92	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
armet	ar'met	arm	ADJ.Pos.Masc.Nom.reg.st	0.92	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
armet	ar'met	arm	ADJ.Pos.Neut.Acc.wk	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
armet	ar'met	arm	ADJ.Pos.Neut.Nom.wk.reg.st	0.975	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
armet	ar'met	arm	ADV.reg.st	0.645	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
As	as	as	ADP
As	as	as	SCONJ
As't	as't	as	SCONJ DET.Def.Neut.Nom.Sg.clit
As't	as't	as	SCONJ PRON.3.Sg.Neut.Nom.clit
äten	Ä'ten	Äten	VERB.Inf
ät'n	Ä'ten	Äten	VERB._.Pl.Ind.Prs
atten	a'ten	Äten	VERB._.Pl.Ind.Prt.st.v
au	an	an	PART.ocr
Backen	ba'ken	bak	NOUN.Fem.Pl_en.Acc
Backen	ba'ken	bak	NOUN.Fem.Pl_en.Dat
Balbeer	bal'bEr	balbEr	NOUN.Masc.Nom.Sg
Balbeer	bal'bEr	balbEren	VERB.2.Sg.Imp
Balbeer	bal'bEr	balbEr	NOUN.Masc.Dat.Sg
Balbeer	bal'bEr	balbEr	NOUN.Masc.Acc.Sg
balbeeren	bal'bE'ren	balbEren	VERB.Inf
balbeeret	bal'bE'ret	balbEren	VERB.3.Sg.Ind.Prs.arch
balbeer'n	bal'bE'ren	balbEren	VERB.Inf
balbeern	bal'bErn	balbEren	VERB.Inf
bald	bald	bald	ADV
balgt	balgt	balgen	VERB.3.Sg.Ind.Prs
Baltsche	balt'Se	balt/PROPN.Masc?.arch-S	ADJ.Pos.Neut.Dat?.Sg.wk
Baltsche	balt'Se	balt/PROPN.Masc?.arch-S	ADJ.Pos.Neut.Acc?.Sg.wk
bangen	ban'gen	bangen	VERB.Inf
bangt	bangt	bangen	VERB.1.Sg.Ind.Prt.wk	0.720779220779221	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
bangt	bangt	bangen	VERB.2.Pl.Imp	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
bangt	bangt	bangen	VERB.3.Sg.Ind.Prs	0.961038961038961	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
bangt	bangt	bangen	VERB.3.Sg.Ind.Prt.wk	0.714285714285714	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
bangt	bangt	bangen	VERB.PPast.wk	0.74025974025974	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
Bär	bÄr	bÄr	NOUN.Masc.Nom.Sg.hd
barmherziglich	barm'her'tsig'lix	barm+hertsig/ADJ.Pos.hd-lix	ADV
barmherziglich	barm'her'tsig'lix	barm+hertsig/ADJ.Pos.hd-lix	ADJ.Pos.Pred
Barrekoaden	ba're'kå'den	barekåd	NOUN.Fem.Pl_en.Dat
Baß-von-Mann	bas'fon'man	bas/NOUN.Masc.Nom.Sg.hd+fon/ADP+man/NOUN.Masc.Dat.Sg	NOUN.Masc.Nom.Sg
båt	bet	bet	SCONJ	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
bät	bet	bet	SCONJ	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
bäten	bÄ'ten	bIten	VERB.PPast.st.i
bäter	bÄ'ter	bÄten	ADJ.Cpv.Pred
bäter	bÄ'ter	bÄten	ADV.Cpv
bäter	bÄ'ter	bÄten	ADJ.Pos.Pl.Acc.wk?
bät'n	bÄ'ten	bÄten	ADV	"(ein) bißchen"
Bau	bau	bau	NOUN.Masc.Nom.Sg.hd
bauen	bau'en	bauen	VERB.Inf.hd
bau'n	bau'en	bauen	VERB.Inf.hd
baut	baut	bauen	VERB.PPast.wk.hd
Beben	bE'ben	bEven	VERB.Ind	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
Beben	bE'ben	bEven	VERB._.Pl.Ind.Prs	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
bedenken	be'den'ken	be-denken	VERB.Inf	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
bedenken	be'den'ken	be-denken	VERB._.Pl.Ind.Prs	0.865497076023392	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
bedöhren	be'dœ'ren	be-dœren?	VERB.Inf	"betören"
bedöhrt	be'dœrt	de-dœren	VERB.PPast.wk
bedräuen	be'dräu'en	be-dräuen	VERB._.Pl.Ind.Prs	"betrügen"?
bedräut	be'dräut	be-dräuen	VERB.3.Sg.Ind.Prs	"betrügt?"
bedrieben	be'drI'ben	be-drIven	VERB.Inf
Bedriew	be'drIv	be-drIv	NOUN.Fem?.Acc.Sg	"Betreiben"
bedrifft	be'drift	be-drIven	VERB.2.Sg.Ind.Prs
bedrift	be'drift	be-drIven	VERB.3.Sg.Ind.Prs
bedröw'n	be'drÖ'ven	be-drÖven	VERB.Inf
bedröw't	be'drÖvt	be-drÖven	VERB.PPast.wk
bedrücht	be'drükt?	be-drüken?	VERB.3.Sg.Ind.Prs
bedüüden	be'dÜ'den	be-dÜden	VERB.Inf
beduurt	bE'dUrt	be-dUren	VERB.1.Sg.Ind.Prt.wk	0.556053811659193	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
beduurt	bE'dUrt	be-dUren	VERB.2.Pl.Imp	0.663677130044843	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
beduurt	bE'dUrt	be-dUren	VERB.3.Sg.Ind.Prs	1	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
beduurt	bE'dUrt	be-dUren	VERB.3.Sg.Ind.Prt.wk	0.551569506726457	dict/vocab.json	full_forms/jung-1855-gedichte.from_dict.tsv
