Schinner	Siner	Siner	NOUN.Masc.Dat	0.9579439252336449	dict/vocab.json
Schinner	Siner	Siner	NOUN.Masc.Nom	1.0	dict/vocab.json
schließlich	SlIslix	SlIslix	ADJ.Pos.Fem.Acc	1.0	dict/vocab.json
schließlich	SlIslix	SlIslix	ADJ.Pos.Fem.Nom.hd	0.9253731343283582	dict/vocab.json
schließlich	SlIslix	SlIslix	ADJ.Pos.Masc.Nom.hd	0.9253731343283582	dict/vocab.json
schließlich	SlIslix	SlIslix	ADJ.Pos.Neut.Acc.wk.hd	0.9054726368159204	dict/vocab.json
schließlich	SlIslix	SlIslix	ADJ.Pos.Neut.Nom.wk.hd	0.9104477611940298	dict/vocab.json
schließlich	SlIslix	SlIslix	ADJ.Pos.Pl.Acc.wk.hd	0.9054726368159204	dict/vocab.json
schließlich	SlIslix	SlIslix	ADJ.Pos.Pl.Nom.wk.hd	0.9054726368159204	dict/vocab.json
schließlich	SlIslix	SlIslix	ADV.hd	0.6965174129353234	dict/vocab.json
schloot	SlOt	SlUten	VERB.1.Sg.Ind.Prt.wk.st	0.9310344827586207	dict/vocab.json
schloot	SlOt	SlUten	VERB.3.Sg.Ind.Prt.wk	1.0	dict/vocab.json
schlachten	Slaxten	Slaxten	VERB.Inf	1.0	dict/vocab.json
schlachten	Slaxten	Slaxten	VERB._.Pl.Ind.Prs	0.8654970760233918	dict/vocab.json
schläpt	Slept	Slepen	VERB.1.Sg.Ind.Prt.wk	0.5560538116591929	dict/vocab.json
schläpt	Slept	Slepen	VERB.2.Pl.Imp	0.6636771300448431	dict/vocab.json
schläpt	Slept	Slepen	VERB.3.Sg.Ind.Prs	1.0	dict/vocab.json
schläpt	Slept	Slepen	VERB.3.Sg.Ind.Prt.wk	0.5515695067264574	dict/vocab.json
schläpt	Slept	Slepen	VERB.PPast.wk	0.5560538116591929	dict/vocab.json
Schlunk	Slunk	Slunk	NOUN.Masc.Acc	1.0	dict/vocab.json
Schlunk	Slunk	Slunk	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Schlunk	Slunk	Slunk	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
Schluß	Slus	Slus	NOUN.Masc.Acc	1.0	dict/vocab.json
Schluß	Slus	Slus	NOUN.Masc.Dat.hd	0.9175257731958762	dict/vocab.json
Schluß	Slus	Slus	NOUN.Masc.Nom.hd	0.9072164948453608	dict/vocab.json
Schlag	Slåg	Slåg	NOUN.Masc.Acc	1.0	dict/vocab.json
Schlag	Slåg	Slåg	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Schlag	Slåg	Slåg	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
schloagen	Slågen	Slagen	VERB.PPast.wk	1.0	dict/vocab.json
schloag	Slåg	Slågen	VERB.1.Sg.Ind.Prs	1.0	dict/vocab.json
schloog	SlOg	Slågen	VERB.1.Sg.Ind.Prt.wk	1.0	dict/vocab.json
schloag	Slåg	Slågen	VERB.2.Sg.Imp	0.8650793650793651	dict/vocab.json
schloog	SlOg	Slågen	VERB.3.Sg.Ind.Prs.st	0.5	dict/vocab.json
schloog	SlOg	Slågen	VERB.3.Sg.Ind.Prt.wk.st	0.9798387096774194	dict/vocab.json
geschloagen	geSlågen	Slågen	VERB.PPast.wk	1.0	dict/vocab.json
schleep	SlEp	Slåpen	VERB.1.Sg.Ind.Prt.wk.st	0.9310344827586207	dict/vocab.json
schleep	SlEp	Slåpen	VERB.3.Sg.Ind.Prt.wk	1.0	dict/vocab.json
schmitt	Smit	SmIten	VERB.1.Sg.Ind.Prt.wk	0.5560538116591929	dict/vocab.json
schmitt	Smit	SmIten	VERB.2.Pl.Imp	0.6636771300448431	dict/vocab.json
schmitt	Smit	SmIten	VERB.3.Sg.Ind.Prs	1.0	dict/vocab.json
schmitt	Smit	SmIten	VERB.3.Sg.Ind.Prt.wk	0.5515695067264574	dict/vocab.json
schmieten	SmIten	SmIten	VERB.Inf	1.0	dict/vocab.json
